ITEM_TEXT,IMAGE,LINK,PRICE
"Veg Only
Non Veg Only
Sort by",,,
Veg Only,,,
Non Veg Only,,,
Sort by,,,
Cheese Lava,,,
Big Big Pizza,,,
Veg Pizza,,,
Non-Veg Pizza,,,
Crazy Deals,,,
Chicken Feast,,,
Cheese Burst Pizza,,,
Cheese Volcano,,,
Pizza Mania,,,
Garlic Breads & Dips,,,
Chicken Burst,,,
Beverages,,,
Desserts,,,
For Her @299,,,
No Onion No Garlic,,,
Tacos & Parcels,,,
