Name,Price
"Samsung Galaxy S24 5G Snapdragon (Amber Yellow, 128 GB)","₹42,999"
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)","₹42,999"
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 256 GB)","₹47,999"
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)","₹42,999"
"Samsung Galaxy S24 5G Snapdragon (Amber Yellow, 256 GB)","₹47,999"
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹47,999"
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 256 GB)","₹47,999"
